OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,Shape__Area,Shape__Length
1,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,95ee949b-c1bc-4730-8f54-be0b5e89fe9e,462,AMCH,Lands - https://landsnet.nps.gov/tractsnet/documents/AMCH/Metadata/amch_metadata.xml,Amache National Historic Site,2022/12/09 09:06:46+00,CO,IM,,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2296605,Amache,3087971.05078125,8182.71066473155
2,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2b669852-4ca5-469f-85e5-01dcda9df969,101,ANTI,Lands - http://landsnet.nps.gov/tractsnet/documents/ANTI/Metadata/anti_metadata.xml,Antietam National Battlefield,2022/12/09 13:15:08+00,MD,NC,589057,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048139,Antietam,22204814.0742188,34457.297230572
3,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,bbb3617c-e4e2-47cc-acea-5b7602d70d5d,132,APPA,Lands - http://landsnet.nps.gov/tractsnet/documents/APPA/Metadata/appa_metadata.xml,Appalachian National Scenic Trail,2022/12/08 14:41:43+00,CT,NE,2766084,National Scenic Trail,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2259619,Appalachian,2228012426.3125,8998542.69040676
4,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,a3576ade-26dd-4176-8930-cc09004ced84,463,BLSC,Lands - https://landsnet.nps.gov/tractsnet/documents/BLSC/Metadata/,Blackwell School National Historic Site,2022/12/09 09:43:22+00,TX,IM,,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2296607,Blackwell School,4220.5,279.154220913488
5,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,bbf21728-9f85-4b1a-8151-dfe43476d4e1,34,BOHA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOHA/Metadata/boha_metadata.xml,Boston Harbor Islands National Recreation Area,2022/11/23 09:50:36+00,MA,NE,606990,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047911,Boston Harbor Islands,16461881.34375,116291.54672675
6,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2e196bb1-008e-4e99-881d-314054ab3b6a,102,CHOH,Lands - http://landsnet.nps.gov/tractsnet/documents/CHOH/Metadata/choh_metadata.xml,Chesapeake and Ohio Canal National Historical Park,2022/11/29 09:58:59+00,DC,NC,583731,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2253816,Chesapeake and Ohio Canal,140220473.851563,888715.98384196
7,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,0e26bdd9-735c-42de-9e62-43805f83cd2a,430,CHYO,Lands - http://landsnet.nps.gov/tractsnet/documents/CHYO/Metadata/chyo_metadata.xml,Charles Young Buffalo Soldiers National Monument,2022/11/08 10:44:39+00,OH,MW,2736075,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196730,Charles Young Buffalo Soldiers,410425.2265625,3365.59973022139
8,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,6a86231a-8158-4267-9f56-8d7ff26a97f6,363,FOBO,Lands - http://landsnet.nps.gov/tractsnet/documents/FOBO/Metadata/fobo_metadata.xml,Fort Bowie National Historic Site,2022/11/16 10:54:06+00,AZ,IM,1888916,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047958,Fort Bowie,5645817.18359375,17797.7612184836
9,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,f3cdacaf-dfe6-46c6-b6cb-6fde734d1e54,144,GARI,Lands - https://landsnet.nps.gov/tractsnet/documents/GARI/Metadata/gari_metadata.xml,Gauley River National Recreation Area,2022/12/31 11:02:15+00,WV,NE,1741168,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2296621,Gauley River,72806850.3476563,137751.950260492
10,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,d99f7bf0-bbab-4bfc-9d11-6f403fb0152e,438,HART,Lands - https://landsnet.nps.gov/tractsnet/documents/hart/Legislation/hart_metadata.xml,Harriet Tubman National Historical Park,2022/12/31 11:09:36+00,NY,NE,need,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2295554,Harriet Tubman,259742.38671875,2591.68686592854
11,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,07161959-51f0-47c1-aba2-17483ee55357,92,NACA,Lands - http://landsnet.nps.gov/tractsnet/documents/NACA/Metadata/naca_metadata.xml,National Capital Parks,2022/11/30 11:13:52+00,DC,NC,2738287,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2223249,National Capital Parks,49153455.3242188,684796.086228459
12,2023/01/03 09:21:26+00,NPS_WASO_LANDS,2023/01/03 09:21:26+00,NPS_WASO_LANDS,ed981e0c-0532-44e5-90b6-d54ba6a49104,320,PETR,Lands - http://landsnet.nps.gov/tractsnet/documents/PETR/Metadata/petr_metadata.xml,Petroglyph National Monument,2022/12/09 15:36:23+00,NM,IM,920404,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2203272,Petroglyph,43683665.4921875,71382.257362662
13,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,549c1c12-b5d8-4da6-b29d-2ae5979086b4,226,RUCA,Lands - http://landsnet.nps.gov/tractsnet/documents/RUCA/Metadata/ruca_metadata.xml,Russell Cave National Monument,2022/12/14 13:48:04+00,AL,SE,126026,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181138,Russell Cave,1858120.6171875,7742.76633434594
14,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,76f67803-3086-4b71-93a6-512158d97499,276,SACN,Lands - http://landsnet.nps.gov/tractsnet/documents/SACN/Metadata/sacn_metadata.xml,Saint Croix National Scenic Riverway,2022/12/02 14:04:36+00,MN,MW,1888958,National Wild & Scenic River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2223253,Saint Croix,590858832.144531,998633.688418903
15,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,64f8fb38-d21f-419c-a050-c4b8ae4e853a,366,SAGU,Lands - http://landsnet.nps.gov/tractsnet/documents/SAGU/Metadata/sagu_metadata.xml,Saguaro National Park,2022/12/09 14:32:20+00,AZ,IM,10683,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225704,Saguaro,530595606.207031,195102.133114308
16,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,b24abdbd-9252-4aaa-aa79-340d2596a23e,279,SLBE,Lands - http://landsnet.nps.gov/tractsnet/documents/SLBE/Metadata/slbe_metadata.xml,Sleeping Bear Dunes National Lakeshore,2022/10/03 14:49:37+00,MI,MW,638101,National Lakeshore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2272027,Sleeping Bear Dunes,570334049.265625,345264.425263256
17,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,a33ac2ae-b9fc-48bc-b0bd-91f6cbde4a45,374,YOSE,Lands - http://landsnet.nps.gov/tractsnet/documents/YOSE/Metadata/yose_metadata.xml,Yosemite National Park,2022/10/11 15:53:03+00,CA,PW,255923,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210713,Yosemite,4861851613.92969,396844.507730201
18,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,e60be0a9-8107-4b01-9a88-4149c2b322c9,,AMME,Unofficial Boundary of American Memorial Park.,American Memorial Park,2015/04/22 00:00:00+00,MP,PW,1879026,Park,Lands,Preliminary data. Contact the Land Resources Program for additional information.,,611358.455078125,7740.97383790557
19,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,28e43ea3-57f7-4279-be71-879abf5c5b47,,CAJO,Unofficial Boundary of Captain John Smith Chesapeake National Historic Trail.,Captain John Smith Chesapeake National Historic Trail,2017/11/17 00:00:00+00,MD,NE,1879026,National Historic Trail,Lands,Preliminary data. Contact the Land Resources Program for additional information.,,1692916.359375,9135.95967230756
20,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,dfcebb7b-0f95-4be8-8d92-8cd52903018b,1,BOST,Lands - http://landsnet.nps.gov/tractsnet/documents/BOST/Metadata/bost_metadata.xml,Boston National Historical Park,2015/02/09 00:00:00+00,MA,NE,600140,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221816,Boston,325688.1484375,7018.5607701382
21,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,40d43728-ff8d-4221-bac4-a6e16914e209,2,MAVA,Lands - http://landsnet.nps.gov/tractsnet/documents/MAVA/Metadata/mava_metadata.xml,Martin Van Buren National Historic Site,2012/07/18 00:00:00+00,NY,NE,1888943,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188828,Martin Van Buren,2202209.59375,11384.9702511987
22,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,6ed3276c-f879-4b68-8c20-af0bd1209209,3,SPAR,Lands - http://landsnet.nps.gov/tractsnet/documents/SPAR/Metadata/spar_metadata.xml,Springfield Armory National Historic Site,2011/10/18 00:00:00+00,MA,NE,1888963,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180629,Springfield Armory,396708.91015625,2507.49256607132
23,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,98b8c7de-858b-48e6-a05b-73dde780276c,4,ACAD,Unofficial Boundary of Acadia National Park.,Acadia National Park,2013/12/18 00:00:00+00,ME,NE,578853,National Park,Park,Preliminary data. Contact the Land Resources Program for additional information.,Acadia,274779310.757813,541137.318066783
24,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,7790809a-8df8-4097-9c89-6a7540a16252,5,SACR,Lands - http://landsnet.nps.gov/tractsnet/documents/SACR/Metadata/sacr_metadata.xml,Saint Croix Island International Historic Site,2016/06/20 00:00:00+00,ME,NE,581971,International Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230262,Saint Croix Island,54060.7265625,987.300011783059
25,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,fb05d679-f032-45ca-9871-7dfb16620d50,6,ADAM,Lands - http://landsnet.nps.gov/tractsnet/documents/ADAM/Metadata/adam_metadata.xml,Adams National Historical Park,2009/06/05 00:00:00+00,MA,NE,1888899,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048140,Adams,100799.82421875,2163.81488530874
26,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,0a6dc1d5-469a-4743-b337-119ac6ca5704,7,JOFI,Lands - http://landsnet.nps.gov/tractsnet/documents/JOFI/Metadata/jofi_metadata.xml,John Fitzgerald Kennedy National Historic Site,2010/10/28 00:00:00+00,MA,NE,607138,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171834,John F Kennedy,644.63671875,104.182277426202
27,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,9bf242a0-d061-4a6f-9968-5c6ddc0a4349,8,MIMA,Lands - http://landsnet.nps.gov/tractsnet/documents/MIMA/Metadata/mima_metadata.xml,Minute Man National Historical Park,2018/02/22 00:00:00+00,MA,NE,600051,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2167740,Minute Man,7614108.81640625,36417.1256415072
